date,depression,anxiety,suicide,worry,fear,worrying,sad,Country
2020-01-27,71,100,0,36,39,0,33,GB
2020-01-28,76,95,24,46,64,42,0,GB
2020-01-29,80,87,40,37,47,21,34,GB
2020-01-30,71,76,32,46,35,42,69,GB
2020-01-31,54,68,16,28,41,0,57,GB
2020-02-01,64,56,25,0,43,45,61,GB
2020-02-02,54,75,17,39,19,44,36,GB
2020-02-03,62,90,0,35,77,39,97,GB
2020-02-04,80,83,32,28,70,21,46,GB
2020-02-05,60,77,16,38,24,0,35,GB
2020-02-06,88,82,25,39,31,22,84,GB
2020-02-07,67,73,8,29,43,0,12,GB
2020-02-08,59,64,9,40,19,0,13,GB
2020-02-09,51,56,24,19,29,21,0,GB
2020-02-10,85,83,8,80,50,40,33,GB
2020-02-11,64,88,47,45,40,62,11,GB
2020-02-12,79,85,16,56,18,0,12,GB
2020-02-13,75,83,32,66,59,64,35,GB
2020-02-14,65,77,24,38,24,0,12,GB
2020-02-15,47,44,85,18,28,0,22,GB
2020-02-16,82,77,48,47,41,42,46,GB
2020-02-17,51,83,46,72,34,0,33,GB
2020-02-18,67,79,15,35,60,20,43,GB
2020-02-19,65,71,31,35,34,40,66,GB
2020-02-20,84,73,39,18,51,0,22,GB
2020-02-21,79,72,40,0,35,63,92,GB
2020-02-22,65,90,33,19,48,0,36,GB
2020-02-23,90,75,32,19,47,21,69,GB
2020-02-24,100,77,45,17,44,39,64,GB
2020-02-25,76,88,23,53,89,20,55,GB
2020-02-26,79,78,31,62,45,0,22,GB
2020-02-27,64,75,31,54,23,0,11,GB
2020-02-28,67,65,31,18,56,20,89,GB
2020-02-29,58,49,32,38,30,0,47,GB
2020-03-01,71,71,8,56,100,63,23,GB
2020-03-02,61,75,30,9,27,39,65,GB
2020-03-03,78,71,30,52,27,59,11,GB
2020-03-04,78,100,30,44,28,80,22,GB
2020-03-05,70,63,23,81,51,20,11,GB
2020-03-06,57,80,48,55,29,21,11,GB
2020-03-07,50,58,17,10,49,44,48,GB
2020-03-08,62,65,16,56,47,63,46,GB
2020-03-09,78,83,51,85,16,19,64,GB
2020-03-10,54,64,37,42,38,38,0,GB
2020-03-11,51,72,30,17,33,59,21,GB
2020-03-12,61,62,22,100,42,38,62,GB
2020-03-13,56,65,8,45,45,61,67,GB
2020-03-14,39,71,33,38,42,22,36,GB
2020-03-15,57,74,24,37,23,84,23,GB
2020-03-16,56,92,45,77,33,58,21,GB
2020-03-17,43,84,22,68,22,39,11,GB
2020-03-18,43,63,0,50,58,0,41,GB
2020-03-19,30,70,15,61,11,59,11,GB
2020-03-20,46,73,7,34,43,19,11,GB
2020-03-21,47,75,40,37,29,42,46,GB
2020-03-22,48,69,17,19,36,43,36,GB
2020-03-23,52,70,51,37,37,33,18,GB
2020-03-24,46,63,35,32,36,0,30,GB
2020-03-25,39,71,100,58,47,0,31,GB
2020-03-26,41,84,43,17,69,38,42,GB
2020-03-27,45,66,54,39,30,0,10,GB
2020-03-28,38,72,15,45,51,0,22,GB
2020-03-29,48,79,38,18,28,20,22,GB
2020-03-30,43,81,21,32,61,18,10,GB
